=== C--语言词法分析结果（手动实现）===
格式: (种别码, 值)

(6, int)
(6, main)
(18, ()
(19, ))
(20, {)
(6, int)
(6, a)
(22, ;)
(6, int)
(6, b)
(22, ;)
(6, int)
(6, max)
(22, ;)
(6, int)
(6, sum)
(22, ;)
(6, int)
(6, diff)
(22, ;)
(6, int)
(6, product)
(22, ;)
(6, int)
(6, quotient)
(22, ;)
(6, a)
(13, =)
(7, 10)
(22, ;)
(6, b)
(13, =)
(7, 20)
(22, ;)
(2, if)
(18, ()
(6, a)
(16, GT)
(6, b)
(19, ))
(20, {)
(6, max)
(13, =)
(6, a)
(22, ;)
(21, })
(3, else)
(20, {)
(6, max)
(13, =)
(6, b)
(22, ;)
(21, })
(6, sum)
(13, =)
(6, a)
(8, +)
(6, b)
(22, ;)
(6, diff)
(13, =)
(6, b)
(14, -)
(6, a)
(22, ;)
(6, product)
(13, =)
(6, a)
(10, *)
(6, b)
(22, ;)
(6, quotient)
(13, =)
(6, b)
(15, /)
(6, a)
(22, ;)
(1, while)
(18, ()
(6, a)
(11, LT)
(6, b)
(19, ))
(20, {)
(6, a)
(13, =)
(6, a)
(8, +)
(7, 1)
(22, ;)
(21, })
(2, if)
(18, ()
(6, a)
(17, GE)
(6, b)
(19, ))
(20, {)
(6, sum)
(13, =)
(6, sum)
(8, +)
(7, 1)
(22, ;)
(21, })
(2, if)
(18, ()
(6, a)
(10, LE)
(6, b)
(19, ))
(20, {)
(6, diff)
(13, =)
(6, diff)
(14, -)
(7, 1)
(22, ;)
(21, })
(2, if)
(18, ()
(6, a)
(12, EQ)
(6, b)
(19, ))
(20, {)
(6, product)
(13, =)
(6, product)
(10, *)
(7, 2)
(22, ;)
(21, })
(4, switch)
(18, ()
(6, max)
(19, ))
(20, {)
(5, case)
(7, 10)
(13, :)
(6, sum)
(13, =)
(6, sum)
(8, +)
(7, 10)
(22, ;)
(5, case)
(7, 20)
(13, :)
(6, sum)
(13, =)
(6, sum)
(8, +)
(7, 20)
(22, ;)
(21, })
(6, float)
(6, pi)
(22, ;)
(6, float)
(6, e)
(22, ;)
(6, pi)
(13, =)
(7, 3.14159)
(22, ;)
(6, e)
(13, =)
(7, 2.71828e10)
(22, ;)
(6, return)
(7, 0)
(22, ;)
(21, })
PS E:\编译原理\编译原理实验代码\实验二_手动词法分析器> .\lexer.exe test_error.c
=== C--语言词法分析结果（手动实现）===
格式: (种别码, 值)

(6, int)
(6, main)
(18, ()
(19, ))
(20, {)
(6, int)
(6, x)
(22, ;)
(6, int)
(6, y)
(22, ;)
(6, x)
(13, =)
(7, 100)
(22, ;)
(6, y)
(13, =)
(7, 200)
(22, ;)
(6, int)
词法错误：第13行出现非法字符 '@'
(6, value)
(13, =)
(7, 50)
(22, ;)
(2, if)
(18, ()
(6, x)
词法错误：第16行出现非法字符 '#'
(6, y)
(19, ))
(20, {)
(6, x)
(13, =)
(6, x)
(8, +)
(7, 1)
(22, ;)
(21, })
(6, int)
词法错误：第21行出现非法字符 '$'
(6, money)
(13, =)
(7, 1000)
(22, ;)
(1, while)
(18, ()
(6, x)
词法错误：第24行出现非法字符 '&'
(6, y)
(19, ))
(20, {)
(6, x)
(13, =)
(6, x)
(14, -)
(7, 1)
(22, ;)
(21, })
(6, int)
(6, result)
(13, =)
(6, x)
词法错误：第29行出现非法字符 '%'
(6, y)
(22, ;)
(2, if)
(18, ()
(6, x)
词法错误：第32行出现非法字符 '^'
(6, y)
(19, ))
(20, {)
(6, y)
(13, =)
(6, y)
(15, /)
(7, 2)
(22, ;)
(21, })
(6, int)
(6, neg)
(13, =)
词法错误：第37行出现非法字符 '~'
(6, x)
(22, ;)
(6, int)
(6, temp)
(13, =)
(7, 10)
(22, ;)
(6, int)
(6, value)
(13, =)
(6, temp)
词法错误：第41行出现非法字符 '`'
(7, 5)
(22, ;)
(2, if)
(18, ()
(6, x)
(16, GT)
(6, y)
(19, ))
(20, {)
(6, x)
(13, =)
(6, x)
(14, -)
(6, y)
(22, ;)
(21, })
(3, else)
(20, {)
(6, y)
(13, =)
(6, y)
(14, -)
(6, x)
(22, ;)
(21, })
(6, int)
(6, flag)
(13, =)
(6, x)
词法错误：第51行出现非法字符 '|'
(6, y)
(22, ;)
(6, return)
(7, 0)
(22, ;)
(21, })
